Амплитуда;Количество
221542827,105905;0
222198278,80717;0
222853730,508436;2
223509182,209701;0
224164633,910966;0
224820085,612231;0
225475537,313497;0
226130989,014762;0
226786440,716027;0
227441892,417292;0
228097344,118558;0
228752795,819823;0
229408247,521088;0
230063699,222353;0
230719150,923618;0
231374602,624884;0
232030054,326149;0
232685506,027414;0
233340957,728679;0
233996409,429945;0
234651861,13121;0
235307312,832475;0
235962764,53374;0
236618216,235005;0
237273667,936271;0
237929119,637536;0
238584571,338801;0
239240023,040066;0
239895474,741332;0
240550926,442597;0
241206378,143862;0
241861829,845127;0
242517281,546393;0
243172733,247658;0
243828184,948923;0
244483636,650188;0
245139088,351453;0
245794540,052719;0
246449991,753984;2
247105443,455249;0
247760895,156514;0
248416346,85778;2
249071798,559045;0
249727250,26031;0
250382701,961575;0
251038153,66284;0
251693605,364106;0
252349057,065371;0
253004508,766636;0
253659960,467901;0
254315412,169167;0
254970863,870432;0
255626315,571697;0
256281767,272962;0
256937218,974228;0
257592670,675493;0
258248122,376758;0
258903574,078023;0
259559025,779288;0
260214477,480554;0
260869929,181819;0
261525380,883084;0
262180832,584349;0
262836284,285615;0
263491735,98688;2
264147187,688145;0
264802639,38941;0
265458091,090675;0
266113542,791941;0
266768994,493206;0
267424446,194471;0
268079897,895736;0
268735349,597002;0
269390801,298267;0
270046252,999532;0
270701704,700797;0
271357156,402062;0
272012608,103328;0
272668059,804593;0
273323511,505858;0
273978963,207123;0
274634414,908389;2
275289866,609654;0
275945318,310919;0
276600770,012184;2
277256221,71345;0
277911673,414715;0
278567125,11598;0
279222576,817245;0
279878028,51851;0
280533480,219776;0
281188931,921041;0
281844383,622306;0
282499835,323571;0
283155287,024837;0
283810738,726102;0
284466190,427367;0
285121642,128632;0
285777093,829898;0
286432545,531163;0
287087997,232428;0
